LSR_GOODS_CD,LSR_GOODS_NM,CSTMR_INQRY_CTTPLC_DC
29656,[강원 춘천] 제이드가든,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29719,[전북 전주]물고기마을,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29773,[충남 당진] 삽교호 함상공원 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29818,[경북 경주] 뽀로로 아쿠아빌리지 준성수기 시즌,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29872,[전북 전주] 한옥마을 나라한복 한복대여,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29875,[충남 금산] 한방스파 테라피 이용권 &호텔 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29951,[전북]전북투어패스 1일권 + 군산 선유스카이 선라인 (짚라인),• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30044,[경기 양평] 오르다온 송백수목원,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30045,[충남 당진] 월드아트서커스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30047,[경기 용인] 한국패러글라이딩 학교,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30072,[속초] 척산온천 휴양촌 이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30080,[경북 경주] 토이빌리지 테마파크,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30091,[서울 동대문] 판타 키즈vr,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30155,[강원 인제] 인제 짚트랙,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30168,[충남 청양] 청양 고운식물원,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
30205,[강원 춘천] 춘천 물레길 카누 + 집라인,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
