LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_ROAD_NM_ADDR
20259,철가방을 든 해녀,제주특별자치도 서귀포시 대정읍 가파리 732
20281,[경기 안산]별빛마을 빛축제 + 거울미로,경기 안산시 상록구 수인로 1723
20374,[경북 경주]스쿠터 대여 스쿠터팡,경북 경주시 태종로 688
20391,항공우주박물관,제주 서귀포시 안덕면 녹차분재로 218 제주항공우주박물관
20392,헬로키티 아일랜드,제주 서귀포시 안덕면 한창로 340
20474,아쿠아플라넷 + 성산포유람선,제주특별자치도 서귀포시 성산읍 고성리 127-1
20476,아쿠아플라넷 + 얼라이브카트,제주특별자치도 서귀포시 성산읍 고성리 127-1
20479,아쿠아플라넷 + 산방산온천,제주특별자치도 서귀포시 성산읍 고성리 127-1
20538,[경북 경주] 한복대여 한복동이,경북 경주시 포석로1092번길 26-4
20553,[서울 종로] 창덕궁&창경궁 한복대여 한복남,서울 종로구 와룡동 140
20575,아쿠아플라넷 + 허브동산 야간권,제주특별자치도 서귀포시 성산읍 고성리 127-1
