LSR_GOODS_CD,LSR_GOODS_NM
34677,[경기 용인] EBS캠스토리 야외수영장
34679,[강원 횡성] 정글대탐험 시즌2
34820,[전남 여수] 디오션 워터파크 이용권 : 썸시즌 (6/16~7/13)
34823,[전남 여수] 이순신 마리나
34831,[경남 거제] 스노클링 호핑투어 & 수상놀이기구
34835,[경기 양평] 동동카누
34844,[경기 가평] 양세찬과 함께하는 AK수상레저 다인권
34858,[경기 가평] 레저캠프 수상레저 다인권
34864,[경기 가평] 락마리나 수상레저
34934,[서울 용산] 이태원 해밀턴 풀파티
34937,[경남 창원] 타겟존 : 경남대점
34942,[서울 성동] 서울숲 르누아르展 : 여인의향기
35047,[서울 서초] 예술의전당 신카이마코토展
35048,[충남 공주]장승마을 빛축제
35050,[서울 여의도] 알파텐트
35051,[경기 남양주] 플레이주
35055,[경남 합천] 옐로우리버비치 오픈시즌 자유이용권
35056,[경남 합천] 옐로우리버비치 패키지
35061,[경기 일산] 원마운트 워터파크 ★여름특가
35082,[제주 안덕] 신화월드 신화테마파크 입장권
35116,[경기 파주] 향기의미술관 르누아르展
35117,"[서울 광진] 모네, 빛을 그리다展"
35127,[인천 서구] 청라아시아드 워터파크
35239,[충북 충주] 리쿼리움
35247,[전북 고창] 고창투어패스 + 석정휴스파 패키지
35251,[부산 해운대] 캐치웨이브
35254,[경북 경산] 경산 용암 웰빙스파
35256,[충북 충주] 탄금호 물놀이장
35259,[경기 용인] 캐리비안베이 골드시즌 종일이용권
35363,[강원 인제] 엑스게임리조트 래프팅
35364,[경북 경산] 펀펀비치 워터파크 골드시즌 특가(7/21~8/15)
35365,[경기 이천] 별빛정원 우주
35385,[전남 여수] 엑스포 스카이플라이 왕복권
35386,[전남 여수] 엑스포 카트
35387,[경기 수원] 삼풍수영장
35389,[전북 전주] 한옥 레일바이크
35390,[강원 삼척] 강원종합박물관 입장권
35394,[전남 광양] 와인동굴
35395,[강원 태백] 365세이프 타운 자유이용권
35447,[강원 속초] 호텔 스파스토리 인 설악 스파 입장권
35462,[전남 담양] 에어로마스터 경비행기 체험
35463,[강원 인제] 곰레포츠 : 래프팅/ATV/서바이벌
35465,[경기 일산] 원마운트 스노우파크 7월
35476,[충북 단양] 다누리아쿠아리움
35552,[강원 평창] 대관령양떼목장
35558,[경북 울진] 덕구온천 스파월드 (7/1~7/19)
35559,[충남 아산] 피나클랜드 여름상품
35561,[인천 송도] 도심형 테마파크 몬스터 VR 7월
35564,[경북 경산] 팔공산 갓바위 워터피아 이용권
35568,[경남 창원] 출발 키즈드림팀
35579,"[경기 여주] 썬밸리 워터파크 종일권 7,8월"
35580,[경기 일산] 원마운트 워터파크 7월
35670,[충북 단양] 온달관광지
35671,[서울 노원] 피노파밀리아 키즈테마파크
35676,[경기 화성] 하피랜드 : 워터파크 + 찜질방 + 스파
35681,[대구 동구] 얼라이브 아쿠아리움
35684,[경기 양주] 스톤밸리 수영장
35685,[경북 경주] 소인국 디오라마월드
35687,[강원 영월] 동강시스타 힐링스파
35692,[충남 천안] 쥬쥬피아
35696,[대구 달서] 엘리바덴 : 상인점
35697,[대구 달서] 엘리바덴 신월성점
35700,[충북 충주] 라이트월드
35702,[충북] 힐링투어패스 + 충주 라이트월드
35706,[경기 과천] 서울대공원 리프트 + 서울동물원 입장권 패키지
35711,[경남 통영] 히어로스튜디오 통통 체험 테마파크
35775,[대구 달성] 힐크레스트 : 에코 어드벤처
35776,[대구 달성] 힐크레스트 특별 패키지
35786,[경기 용인] 스카이패러글라이딩
35792,[경북 경산] 경산스파월드 워터파크 패키지
35797,[전북 전주] 후크의성 워터파크
35805,[경기 부천] 야인시대 야외수영장
35808,[경북 울진] 덕구온천 스파월드 성수기 (7/20~8/20)
35810,[경기 파주] 동화힐링캠프 수영장
35818,[경북 경주] 한국대중음악박물관
35819,[경북 경주] 혼자수미술관
35823,[경기 부천] 아인스워터월드 + 아인스월드 주간권 : 7/7 OPEN!
35858,[서울 삼성] 코엑스 아쿠아리움 7월
35882,[경북 경산] 펀펀비치 워터파크 하이시즌
35893,[전남 순천] 순천만국가정원 스카이큐브 탑승권
35895,[강원 강릉] 정동진패러마을
35899,[제주] 자유이용권 BIG2 1+1 : ★핫딜특가
35937,[서울 서초] 예술의전당 신카이마코토展 : ★핫딜특가
35940,[경기 가평] 양세찬과 함께하는 AK수상레저 : ★핫딜 1+1 특가
35986,[경북 경주] 경주 키덜트 뮤지엄
35990,[경기 김포] 버드몽 테마파크 : 야외수영장
35992,냐냐
35996,[서울 광진] 뚝섬 노을지는 한강카약
35997,[서울 마포] 나만의 천연자개 은반지 체험
35998,[서울 마포] 나만의 감성 네온사인 만들기 : 홍대점
35999,[서울 강남] 나만의 감성 네온사인 만들기 : 강남점
36000,[서울 용산] 앱솔루트 서울 펍크롤 : 이태원점
36001,[서울 마포] 앱솔루트 서울 펍크롤 : 홍대점
36002,[서울 성동] 힐링 만다라 다이닝 소품 5종
36003,[서울 강남] 한여름 밤의 꿈 생화 가득 센터피스 만들기
36004,[서울 마포] 보태니컬 사각접시 만들기
36005,[서울 용산] 내가 만드는 내 귀걸이
