LSR_GOODS_CD,LSR_GOODS_NM,RFN_POLICY_DC
23120,[전북 군산] 군산투어패스 : 군산 5대 관광지 자유이용권,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
23121,[전북 군산] 군산투어패스 + 테디베어 뮤지엄,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 해당상품은 부분 취소 및 부분 환불이 불가합니다. • 취소 요청 후 최대 7일 이내 취소 확정 여부를 확인 드립니다.
23130,[부산 서면] 깜부 키즈카페,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
23186,[강원 영월] 영월 패러글라이딩,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 패키지 상품은 동일한 날짜에 이용 해야하며, 부분 취소 및 부분 환불이 불가합니다.  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.   * 이용일 4일전 까지 취소시 100% 환불      * 이용일 3일전 까지 취소시 30% 취소 수수료 공제 후 70% 환불   * 이용일 2일전 까지 취소시 50% 취소 수수료 공제 후 50% 환불   * 이용일 1일전 까지 취소시 70% 취소 수수료 공제 후 30% 환불   * 이용 당일 취소시 환불 불가   * 기상악화로 운영중단 시 전액 환불 가능"
23187,[경북 상주] 활공랜드,"• 미사용티켓 환불 가능  • 유효기간 이후 미사용티켓 환불 가능  • 사용한 티켓 환불 불가    [티켓 예약시]  • 해당상품은 전화 예약시 티켓 사용처리됩니다.  • 예약 후 취소를 원하시면 야놀자 고객센터 1644-1346으로 연락 바랍니다.   * 구매일로 부터 7일 이내 취소신청시 100% 환불가능   * 이용당일 취소신청 및 환불 불가   * 단, 현장사정에 따라 운행이 불가능해 질 경우에는 100%환불가능  • 예약 후 미방문 시 티켓 사용 처리"
23203,[전북 부안] 부안투어패스  : 부안여행 자유이용권,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
23239,[서울 신림] 러브낚시카페 신림본점,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
23276,[전남 여수] 서틀러 다육식물원 관람&체험권,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.   * 관람권, 달구지타기- 이용당일 사전연락시 취소/환불 100%가능   * 이용당일 사전 연락없이 미방문시 환불불가  • 체험권(다육심기,도예체험권,음식만들기 체험,고추장담기 등)   * 이용일 2일전~당일 취소시 환불불가"
23838,[경북 경산]공룡박물관,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
23865,[서울 여의도] 알파휠 여의도점,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 현장에서 입장시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    * 사전 전화 예약 하신 고객님 중 예약일 미방문 고객님은 취소 환불 불가
23895,[전북 고창] 고창투어패스 : 4대 관광지 자유입장,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
23918,[서울 여의도] 아이봇 피크닉,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
23973,[경기 일산] 강아지 테마파크,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
24020,[전북 완주] 완주투어패스,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
24172,[경기 화성] 어섬 패러글라이딩,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    * 이용1일전 50% 환불가능    * 이용 당일 환불 불가    * 단 천재지변에 의한 기상상황 악화로 인해 비행을 못할경우 취소가능 / 현장기준
24177,[경북 안동] 곤충파충류 체험전,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
24197,[전북 진안] 진안투어패스,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 해당상품은 부분 취소 및 부분 환불이 불가합니다.
24198,[전북 진안] 진안투어패스 + 홍삼스파 패키지,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 해당상품은 부분 취소 및 부분 환불이 불가합니다.
24255,러브낚시카페,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
24389,[서울 여의도] VR스크린사냥&사격장 슈팅버니,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
24392,[전북 전주] 에어피닉스 패러글라이딩,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.   * 이용 1일전까지 취소신청시 100% 환불가능   * 이용 당일 취소신청 및 환불 불가
24399,[서울 왕십리] 그레이트피그미풀 키즈카페,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
24402,홍대 한복남 한복대여,• 유효기간 이내 환불가능 • 유효기간 이후 환불불가 • 사용한 티켓 환불 불가 • 입장과 동시에 티켓은 사용처리 • 패키지 상품 부분환불 불가
24403,[전남 여수] 한우드림 동물테마농장,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
24415,[서울 인사동] 놀이똥산 패키지,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 패키지 상품은 동일한 날짜에 이용 해야하며, 부분 취소 및 부분 환불이 불가합니다."
24464,[경기 파주] 헤이리 팝트릭아트 93뮤지엄,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 패키지 상품은 동일한 날짜에 이용 해야하며, 부분 취소 및 부분 환불이 불가합니다."
24477,[전북 무주] 무주투어패스,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
24478,[전북 장수] 장수투어패스,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
24555,[경기 포천] 산사원 : 전통주 갤러리,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
24560,[전북 임실] 임실투어패스,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 해당상품은 부분 취소 및 부분 환불이 불가합니다.
24609,[서울 홍대] 포트링 : 도자기만들기 체험,* 구매일로부터 7일이내 환불가능 * 유효기간 이후 환불불가능 * 사용한 티켓은 환불 불가능합니다.  [티켓 예약시]  * 예약과 동시에 사용처리 됩니다.  * 이용 1일전 오후8시까지 100% 취소환불 가능 * 당일 취소환불 불가
24640,[전북 전주] 한옥마을 왕발통 & 전동 바이크,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
