LSR_GOODS_CD,LSR_GOODS_NM,SLE_STATE_DC
30515,코코몽 키즈랜드 대전 중앙로점,STOP
30518,코코몽 키즈랜드 동아수성점,STOP
30519,코코몽 키즈랜드 부산대점,STOP
30528,코코몽 키즈랜드 부천 뉴코아점,STOP
30530,코코몽 키즈랜드 송파점,STOP
30535,코코몽 키즈랜드 수원터미널점,STOP
30536,코코몽 키즈랜드 순천점,STOP
30539,[경기 안산]코코몽 키즈랜드 안산점,STOP
30544,[충남 대천] 국가대표 패러글라이딩,STOP
30547,[경주] 블루원 스핀카 주말 이용권,STOP
30566,[강원 춘천] ★제이드가든 : 키즈노트 전용,STOP
30575,[경기 김포] 버드몽 테마파크 동물체험장,STOP
30576,[강원 영월] 동강탑레포츠 래프팅 + 숙박 패키지,STOP
30584,[경남 사천] 사천바다케이블카,STOP
30587,[강원 양양]몬스터 서퍼스,STOP
30594,[경기 포천] 포천 어메이징파크,STOP
32125,[강원 춘천] BFS 남이섬 보트 투어,STOP
32136,[서울 강서] 정글대탐험 김포공항점 : 파충류/곤충체험전,STOP
32147,[경기 안양] VR GO : VR체험,STOP
32159,[경기 용인] 캐리비안베이 종일/오후 이용권,STOP
32160,[경기 부천] 웅진플레이도시 스노우파크 눈썰매 & 스키/보드,STOP
32161,[경남 김해] 롯데워터파크 종일권+찜질방&사우나,STOP
32164,[충남 천안] 상록 리조트 아쿠아피아 : 어린이날(연휴) 특별 이용권,STOP
32166,[경북 경주] 히어로 키즈파크,STOP
32168,지리산 온천랜드,STOP
32170,[전북 무주]스노우밸리펜션 + 레저/식사 패키지,STOP
32171,[안산] 동춘서커스 입장권,STOP
32174,[서울 홍대] 홍대 엑스이스케이프 방탈출 전지점(상세정보필참),STOP
32176,[대구] 힐크레스트 : 에코어드벤처,STOP
32188,[강원 강릉] 하슬라 아트월드 : 이색전시,STOP
32189,[서울 송파] 올림픽공원 전동휠,STOP
32190,[충남 천안] 상록 리조트 아쿠아피아 주말 및 공휴일 이용권,STOP
32202,[경북 경주]한복 나드리,STOP
32213,[강원 인제] 내린천 미래래프팅/ATV(산악오토바이),STOP
32214,[경남 김해] 가야랜드 체험 놀이터,STOP
32243,[충남 아산] 파라다이스 스파 도고,STOP
32244,[강남/동대문/명동/광주/서면] 레전드히어로즈 5개지점,STOP
32245,[전남 화순] 금호리조트 아쿠아나 실버시즌,STOP
32268,[강원 춘천] 수상레저 V : ★여름방학 특가,STOP
32290,[경기 가평] 썸머타임 수상레저 왕초보라이딩 : ★ 특가 이벤트,STOP
32291,[경기 가평] 인기HOT스팟 BFS수상레저,STOP
32292,[경기 일산] 미니 키즈월드 킨텍스점,STOP
32312,[경기 용인] 에버랜드 부티풀 종일/야간권,STOP
